2025-07-02 16:09:25,087 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:09:25,088 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:37:01,106 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:37:01,107 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:37:01,107 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:37:01,109 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:37:01,110 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:37:01,110 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:37:01,402 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:37:01,402 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:37:01,403 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:37:01,405 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:37:01,405 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:37:01,406 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:41:52,675 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:41:52,676 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:41:52,677 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:41:52,679 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:41:52,680 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:41:52,680 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:41:52,968 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:41:52,969 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:41:52,969 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:41:52,971 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:41:52,972 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:41:52,972 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:42:06,801 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:42:06,802 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:42:06,802 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:42:06,802 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:42:06,802 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:42:06,802 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:42:07,086 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:42:07,087 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:42:07,087 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:42:07,089 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:42:07,090 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:42:07,090 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:55:52,959 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:55:52,959 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:55:52,960 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:55:52,962 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:55:52,962 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:55:52,963 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:55:53,251 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:55:53,252 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:55:53,252 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:55:53,254 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:55:53,254 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
